,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
102,102,2018-10,547567.0,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,235678.2,-13.1,-8.7,41.0,0.7,-9.8,237.0,-9.2,-0.4,2322.6,108,2018-12-28,2994.8,3010.65,3024.35,2984.82,7105377900.0,78145310042.0,0.0634348064371481,0.2862139405111852,0.2706857323169416,0.3606961951737997,3.3
103,103,2018-11,609267.0,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,260021.8,-9.4,-9.0,44.8,0.2,-15.6,258.2,-16.7,-2.3,2582.0,109,2019-01-31,3182.7,3201.63,3216.07,3178.01,8624783900.0,97509924771.0,0.1460943331990267,0.2222555385850331,0.1979397994146732,0.2505817349287706,2.7
104,104,2018-12,635636.0,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,322293.4,0.3,-14.7,48.9,0.4,-17.4,252.6,-14.9,-3.8,2796.8,110,2019-02-28,3675.26,3669.37,3695.46,3650.05,18481022000.0,206010958184.6,0.0553146725459685,-0.0107865927938582,0.0354883808392176,0.0737674314664371,0.9
105,105,2019-02,44849.0,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,36843.4,0.3,0.9,8.2,0.0,-17.4,252.6,-14.9,-15.1,372.0,112,2019-04-30,3887.18,3913.21,3923.11,3885.15,11623337600.0,161665923923.7,-0.0724264734067428,-0.01989415339325,-0.0067617122515786,-0.000160993148847,0.1
106,106,2019-03,101871.0,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,61393.2,10.8,3.7,12.1,-6.9,-5.7,258.7,-2.6,-10.4,630.9,113,2019-05-31,3641.0,3629.79,3668.18,3627.54,8922226700.0,108264201339.4,0.0539425145807332,0.0467795657600027,0.0547910485179583,0.0653563980285361,0.4
107,107,2019-04,155747.0,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,101733.9,-1.9,-40.8,14.5,-7.1,-25.0,202.0,-15.8,-11.8,832.4,114,2019-06-28,3832.06,3825.59,3835.23,3803.05,8476613900.0,116512050673.5,0.0025538544381389,-0.002891057327105,0.0708361324658417,0.0884491019685851,0.9
108,108,2019-05,217555.0,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,153655.9,-3.1,-30.1,19.1,-9.0,-17.4,185.1,-21.5,-14.1,1017.9,115,2019-07-31,3856.74,3835.36,3856.74,3830.09,8215115500.0,111083892777.4,-0.0093263735346877,0.0133990029619122,0.0439437236660964,0.2241484502106712,0.6
109,109,2019-06,299100.0,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,207649.7,-2.9,-23.7,23.9,-10.5,-14.0,196.0,-15.2,-14.2,1214.0,116,2019-08-30,3816.68,3799.59,3828.97,3778.92,9669515000.0,152408668676.4,0.0039320031898177,0.0076534573467137,0.0369671464552754,0.267563079174332,0.0
110,110,2019-07,348892.0,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,255248.2,-11.4,-18.9,27.9,-11.7,-17.4,185.4,-11.5,-12.8,1435.0,117,2019-09-30,3842.07,3814.53,3857.23,3813.55,6593131300.0,100487271138.0,0.0189328698424182,0.0739409573394362,-0.0336529008816289,0.2026121173512856,-0.3
111,111,2019-08,400628.0,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,273562.4,-15.0,-20.5,31.0,-16.7,-21.3,200.0,-0.6,-12.5,1592.4,118,2019-10-31,3906.86,3886.75,3907.15,3878.88,8671453900.0,135012425538.5,-0.0149430758345661,0.0301408631890396,0.0066456551103106,0.2080349906734417,-0.8
112,112,2019-09,461204.0,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,301755.6,-16.5,-1.8,33.7,-16.2,-17.8,222.0,-6.9,-12.0,1808.7,119,2019-11-29,3857.19,3828.67,3861.66,3804.83,7414433100.0,116200556869.0,0.0699746909501211,0.0290910420589918,0.0100165331564223,0.2955543308773021,-1.2
113,113,2019-10,510880.0,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,322041.2,-2.8,-2.8,34.9,-16.9,-13.5,227.9,-2.1,-11.1,2029.3,120,2019-12-31,4077.75,4096.58,4098.14,4069.01,12326425800.0,173119348509.7,-0.0226237495667117,-0.1001860088171109,0.0164478662689364,0.2721074652515025,-1.6
114,114,2019-11,533718.0,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,335927.8,2.4,-2.5,37.6,-17.7,-13.2,260.8,3.7,-9.6,2285.8,121,2020-01-23,4093.32,4003.9,4103.52,3972.39,16035760300.0,250409357700.7,-0.0159469517220709,-0.0228077624316291,0.1726191962836234,0.3366867304378231,-1.4
115,115,2019-12,551478.0,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,393853.4,-1.1,-5.7,41.6,-18.8,-14.3,270.5,8.1,-8.0,2552.8,122,2020-02-28,3988.73,3940.05,4031.15,3928.07,23027509300.0,330358907265.5,-0.0644382685498915,-0.0185352977754089,0.2223753505666172,0.3544904252484104,-0.5
116,116,2020-02,33323.0,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,34101.7,-1.1,-31.5,3.6,-44.6,-14.3,270.5,8.1,-45.8,200.5,124,2020-04-30,3880.41,3912.58,3921.7,3880.41,13291712500.0,202268288802.3,-0.0116444903362997,0.1999882430518993,0.2000598070838168,0.3094914353188944,-0.4
117,117,2020-03,84145.0,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,94670.6,-16.2,-21.3,7.2,-29.4,-21.7,146.1,-43.0,-44.6,347.1,125,2020-05-29,3838.38,3867.02,3872.3,3830.42,9381383200.0,135658136028.2,0.0767878107690158,0.2454603286251429,0.2827060630666509,0.3787283231015097,-1.5
118,118,2020-04,136824.0,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,84365.1,-5.8,-16.4,11.3,-19.9,11.4,210.0,5.1,-32.3,557.3,126,2020-06-30,4130.0,4163.96,4174.42,4129.78,12593352100.0,227935704488.9,0.1275444528765887,0.1016916589016223,0.2515225890738624,0.2545845781419609,-3.1
119,119,2020-05,199194.0,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,111095.0,-9.8,-18.9,15.5,-14.8,17.1,215.2,19.0,-23.6,765.6,127,2020-07-31,4652.18,4695.05,4741.81,4621.96,18483902600.0,351119312415.0,0.0258080318633453,5.963727755831094e-05,0.1399154428600333,0.0247324309645264,-3.7
120,120,2020-06,281603.0,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,139012.8,-18.2,-25.6,20.5,-7.7,15.4,231.1,20.4,-16.5,996.9,128,2020-08-31,4870.93,4816.22,4901.21,4816.21,20256702900.0,357005064604.8,-0.0475102881512888,0.029905195360677,0.108080610935547,-0.0022029724555773,-3.0
121,121,2020-07,329214.0,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,184780.8,-17.3,-24.8,24.0,-9.1,14.7,225.8,26.8,-9.7,1254.5,129,2020-09-30,4607.58,4587.4,4634.72,4563.41,8908120000.0,165532220885.2,0.0235274883376204,0.1360007847582509,0.1004839342546977,0.0608144046736713,-2.4
122,122,2020-08,378834.0,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,217938.3,-17.4,-23.3,28.0,-6.7,11.8,208.8,7.6,-9.0,1403.6,130,2020-10-30,4776.47,4695.33,4778.51,4683.47,13980230300.0,280783321713.1,0.0564220193255853,0.1398474654603616,0.0911884787650707,0.0454579337341571,-2.0
123,123,2020-09,436530.0,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,250158.0,-9.0,-20.0,32.0,-2.7,20.6,246.1,13.8,-6.1,1650.5,131,2020-11-30,4994.11,4960.25,5055.19,4960.25,26263895000.0,396495834420.8,0.0506103523007912,0.075905448314097,0.074859130084169,-0.0258495035532483,-2.1
124,124,2020-10,483292.0,1.8,-5.3,3.1,14.1,13.1,3.7,8.0,5.4,291120.6,-7.1,-18.1,36.0,0.6,29.0,248.1,11.1,-4.1,1897.9,132,2020-12-31,5122.48,5211.29,5215.62,5122.48,17160250900.0,358731371834.7,0.0269933164341267,-0.0312648115917556,0.0024466111078063,-0.0519871279472069,-2.1
125,125,2020-11,499560.0,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,445772.6,50.9,21.0,40.3,4.1,25.7,278.3,8.1,-2.7,2178.4,133,2021-01-29,5413.97,5351.96,5430.2,5288.1,18217878400.0,390287690019.0,-0.0028400810170479,-0.0426890335503254,-0.1010452245532478,-0.1472712800544099,-1.5
126,126,2020-12,518907.0,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,439112.2,13.4,-1.2,44.6,5.9,32.4,280.4,6.5,-1.4,2462.5,134,2021-02-26,5343.9,5336.76,5416.32,5318.86,21226454300.0,405717700127.9,-0.0540402791206651,-0.0009725001686416,-0.0995266791086727,-0.1414922162510588,-0.4
127,127,2021-02,45236.0,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,54884.4,13.4,59.0,7.6,85.4,32.4,280.4,6.5,89.9,385.5,136,2021-04-30,5156.36,5123.49,5163.25,5094.93,16012162100.0,315075102884.9,0.0406129415691256,-0.0609584482452389,-0.0419089331686017,-0.2161124545963786,1.7
128,128,2021-03,95994.0,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,111651.0,62.3,63.2,14.4,67.4,42.9,251.7,69.8,81.7,638.3,137,2021-05-31,5318.08,5331.57,5331.63,5281.69,14460326900.0,321450798233.5,-0.0201685432246035,-0.0986501161946669,-0.0936947278193852,-0.2325862738367872,4.4
129,129,2021-04,143804.0,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,131352.3,19.1,32.2,20.5,57.7,37.2,227.3,6.8,53.4,865.8,138,2021-06-30,5189.38,5224.04,5231.43,5186.63,10375267100.0,281015504940.5,-0.0790327026592445,-0.0684642537193436,-0.0543008859043958,-0.1414671403741165,6.8
130,130,2021-05,193917.0,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,165724.7,11.9,27.4,25.3,48.8,31.8,209.6,-4.0,38.4,1075.2,139,2021-07-30,4825.7,4811.17,4825.7,4761.04,18234977600.0,420943935061.8,-0.0011556440533176,0.0202861258280211,-0.0514220033796352,-0.133246175046818,9.0
131,131,2021-06,255900.0,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,198823.4,0.6,22.0,29.7,45.6,29.5,203.8,-13.1,26.4,1279.0,140,2021-08-31,4803.09,4805.61,4821.76,4740.75,23511865800.0,460805653996.0,0.0126456370783314,0.0054977411816605,-0.0466038650660374,-0.1512336623238256,8.8
132,132,2021-07,302533.0,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,229135.0,-2.0,18.2,35.0,44.2,27.5,185.3,-15.8,18.9,1459.1,141,2021-09-30,4843.95,4866.38,4876.07,4843.95,14611389600.0,283254685232.2,0.0087107870737592,0.0152043202544807,-0.132291354148258,-0.2181272321520309,9.0
133,133,2021-08,346913.0,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,249181.2,-7.7,14.5,39.8,40.6,23.1,173.4,-19.1,13.5,1634.3,142,2021-10-29,4861.27,4908.77,4908.77,4855.76,15988735300.0,368731987310.2,-0.015633244173184,-0.0702823721624765,-0.1818235525396383,-0.2852180892565755,9.5
134,134,2021-09,397827.0,7.3,14.8,21.2,6.8,3.0,17.1,8.8,15.5,282112.3,-0.7,12.5,50.1,38.4,2.1,218.6,-13.7,9.4,1855.4,143,2021-11-30,4857.18,4832.03,4871.25,4810.22,12963059600.0,279268234018.0,0.0224212184113095,-0.0518167312702942,-0.1532502902506813,-0.202604288466752,10.7
135,135,2021-10,445823.0,6.1,14.2,19.4,6.7,1.0,15.2,7.2,14.6,313031.2,-6.7,10.0,49.17,31.9,4.8,234.35,-8.3,7.1,2091.71,144,2021-12-31,4937.46,4940.37,4950.36,4923.14,12131373700.0,266975388723.2,-0.0762291083461359,-0.1452866890536538,-0.0921712341383337,-0.2163279268556808,13.5
136,136,2021-11,494082.0,5.2,13.7,17.5,3.5,2.8,13.8,4.0,13.3,342896.5,5.2,14.8,54.3,29.9,2.1,267.3,-7.1,5.3,2364.4,145,2022-01-28,4641.81,4563.77,4660.52,4559.83,12648011200.0,263967891800.0,0.003917813562033,-0.1199731800682332,-0.0862598246625049,-0.089160934928798,12.9
137,137,2021-12,544547.0,4.9,13.5,16.0,4.6,1.5,12.4,7.4,12.6,389052.7,5.9,10.2,60.2,29.2,5.8,296.6,3.4,4.8,2652.8,146,2022-02-28,4563.74,4581.65,4581.65,4530.68,13540697800.0,248363727500.0,-0.078366963866729,-0.1069767441860464,-0.1097443060906004,-0.1117916034616349,10.3
138,138,2022-02,50763.0,12.2,20.9,6.8,4.6,1.5,5.0,7.4,8.8,45415.3,5.9,-5.9,8.9,7.2,5.8,296.6,3.4,11.1,426.6,148,2022-04-29,3939.62,4016.24,4017.43,3898.57,17945837700.0,321414877400.0,0.0187438997669462,0.038309463577874,-0.1263719299643447,0.0031995099894428,8.8
139,139,2022-03,104872.0,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,79798.1,-6.5,-6.2,13.53,1.5,3.6,238.68,-4.9,4.9,667.32,149,2022-05-31,4031.76,4091.52,4096.2,4020.38,13541551300.0,267770088700.0,0.0961720827467542,-0.0030990927577037,-0.0582864070076646,-0.0716066400750821,8.3
140,140,2022-04,153544.0,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,107665.0,-10.0,-7.4,18.2,-5.2,-19.0,128.2,-43.5,-7.8,795.3,150,2022-06-30,4418.07,4485.01,4515.0,4418.07,15666628900.0,354343886800.0,-0.0702138902700327,-0.1516429171841312,-0.1367622368734964,-0.1432683539167137,8.0
141,141,2022-05,205964.0,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,130488.4,6.9,-5.4,23.2,-8.7,-18.0,199.3,-4.8,-7.2,994.3,151,2022-07-29,4226.42,4170.1,4243.51,4160.87,11417928600.0,253198574600.0,-0.0218843672813602,-0.1586053092251985,-0.003174983813338,-0.0372820795664373,6.4
142,142,2022-06,271430.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,164679.8,21.9,-1.0,29.01,-7.3,-11.7,257.66,26.8,-2.1,1248.2,152,2022-08-31,4057.14,4078.84,4112.85,4046.62,13244976500.0,292974665500.0,-0.0671637034058704,-0.0553588765433309,-0.0022996734365653,-0.0768772494140491,6.1
143,143,2022-07,319812.0,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,195636.6,30.3,-0.3,33.13,-10.1,-14.8,244.46,31.5,2.9,1500.55,153,2022-09-30,3833.35,3804.89,3848.6,3801.28,7855996600.0,158692748800.0,-0.0778445631805387,0.0175405859302109,0.0646641558625873,-0.0303215073234706,4.2
144,144,2022-08,367106.0,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,219955.6,8.0,2.9,37.5,-10.5,-13.5,242.6,39.0,6.1,1735.8,154,2022-10-31,3504.51,3508.7,3553.39,3495.95,13846565500.0,256574822100.0,0.0981389118476929,0.1847293869524324,0.1483141904409042,0.0015517998118961,2.3
145,145,2022-09,421412.0,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,245866.2,16.4,4.6,41.6,-11.1,-12.0,275.8,25.4,8.1,2011.8,155,2022-11-30,3836.56,3853.04,3867.66,3833.83,15751140000.0,250051468100.0,0.0048247617465688,0.0561686356746879,-0.0141446753732118,,0.9
146,146,2022-10,471459.0,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,274496.1,9.4,4.9,47.1,-12.5,-8.5,255.9,8.6,8.1,2266.8,156,2022-12-30,3873.94,3871.63,3887.55,3868.76,7877327200.0,148295049400.0,0.073671812647386,0.0463112435847432,-0.0075368772325868,,-1.3
147,147,2022-11,520043.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,319489.0,-15.2,1.5,52.0,-12.5,-13.2,242.3,-9.9,5.6,2500.2,157,2023-01-31,4200.58,4156.86,4212.73,4153.05,12455083500.0,249365321600.0,-0.0210254855828677,-0.0307371429396225,-0.0342157301424631,,-1.3
148,148,2022-12,572138.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,374401.1,-13.7,-1.1,57.2,-13.1,-11.7,248.8,-16.7,3.4,2747.6,158,2023-02-28,4058.13,4069.46,4074.26,4026.45,11032359100.0,198799712400.0,-0.0045534296933745,-0.0665739434716153,-0.0747494753603672,,-0.7
149,149,2023-02,53577.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,54079.0,-13.7,23.2,7.5,-11.8,-11.7,248.8,-16.7,-14.0,365.3,160,2023-04-28,3993.26,4029.09,4030.45,3993.26,17950848800.0,328936294000.0,-0.0572213576762992,-0.0035888997267372,-0.1278068248661609,,-1.4
150,150,2023-03,107282.0,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,67038.6,-2.6,-4.1,13.83,-6.8,0.0,260.78,11.2,-5.1,625.67,161,2023-05-31,3827.16,3798.54,3827.16,3781.4,12638736800.0,235606123900.0,0.0115597045180515,-0.0087586283150894,,,-2.5
151,151,2023-04,147482.0,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,63440.2,-10.6,4.3,19.1,-3.0,-1.9,201.8,59.8,4.3,824.7,162,2023-06-30,3816.33,3842.45,3860.03,3813.55,10126842900.0,208146272900.0,0.0448099519837603,-0.0398001275228043,,,-3.6
152,152,2023-05,188815.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,82042.5,3.9,-1.2,24.41,-2.0,1.9,230.74,17.3,7.1,1053.91,163,2023-07-31,4018.89,4014.63,4064.36,4002.08,19960683000.0,366544120000.0,-0.0621128223522466,-0.1246653365316355,,,-4.6
153,153,2023-06,243113.0,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,102753.8,-0.7,-1.2,29.93,-2.9,0.0,256.38,0.8,6.1,1310.34,164,2023-08-31,3786.93,3765.27,3794.0,3762.0,11896164600.0,193577001300.0,-0.0201180791815726,,,,-5.4
154,154,2023-07,285898.0,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,120276.1,-15.8,-3.2,34.6,-1.7,-2.1,232.4,-3.8,4.5,1540.8,165,2023-09-28,3711.21,3689.52,3716.06,3685.3,8522171900.0,153500421300.0,-0.0475333376699408,,,,-4.4
155,155,2023-08,327042.0,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,139916.4,-3.3,-2.4,40.0,-1.0,0.0,251.3,4.5,4.8,1792.0,166,2023-10-26,3484.7807,3514.1448,3515.5716,3478.0503,10514356600.0,176088467200.0,,,,,-3.0
