,0,1,2
71,10,71,0.05881664472386243
34,10,34,0.05715075108315173
99,10,99,0.0561818547604828
64,10,64,0.05608686728461057
48,10,48,0.056074413356843066
49,10,49,0.05586638092623464
37,10,37,0.05550868286828685
59,10,59,0.05533207528133323
79,10,79,0.05501707055680736
30,10,30,0.05469667862661547
43,10,43,0.05468232021251141
84,10,84,0.05458189177336085
60,10,60,0.05453240351401781
51,10,51,0.054349692830849096
32,10,32,0.05404986264706905
68,10,68,0.05397185500201686
87,10,87,0.053923470454242686
81,10,81,0.05389769642982918
57,10,57,0.05364434996862797
69,10,69,0.05360792261779078
210,1000,10,0.05346106232804428
110,100,10,0.05346106232804428
10,10,10,0.05346106232804428
44,10,44,0.05335069960601377
67,10,67,0.05316718845365715
61,10,61,0.05257599663104969
25,10,25,0.05238668716902776
27,10,27,0.05211705695439927
70,10,70,0.052091046884796446
17,10,17,0.05205975355332234
90,10,90,0.05188418633969755
23,10,23,0.05185084953944852
89,10,89,0.05180137119917237
11,10,11,0.0518002210831866
28,10,28,0.051723152710863626
42,10,42,0.05162800105866811
50,10,50,0.05144601004911319
45,10,45,0.051298362280953524
54,10,54,0.05110832067882275
271,1000,71,0.05107641725601588
171,100,71,0.05107641725601588
55,10,55,0.050536315807009506
211,1000,11,0.05040365483816304
111,100,11,0.05040365483816304
29,10,29,0.05025673145303091
47,10,47,0.05020617603842016
26,10,26,0.05017285911946302
114,100,14,0.05013037391742961
214,1000,14,0.05013037391742961
75,10,75,0.05008341972391303
14,10,14,0.04996958083076302
58,10,58,0.04988942805643533
275,1000,75,0.049795284627488
175,100,75,0.049795284627488
12,10,12,0.0496550062576138
56,10,56,0.04952281484201005
41,10,41,0.049288810328325536
80,10,80,0.04920286837952024
63,10,63,0.04911343295161568
297,1000,97,0.049021070341395585
197,100,97,0.049021070341395585
73,10,73,0.048954983333962095
93,10,93,0.04893682117601529
86,10,86,0.04865767994707335
76,10,76,0.04860490468085115
62,10,62,0.048542742058081886
31,10,31,0.04851950587166591
78,10,78,0.04843832239548555
112,100,12,0.048426185482115025
212,1000,12,0.048426185482115025
92,10,92,0.048337444019964294
38,10,38,0.048271507076479876
213,1000,13,0.048226791906652224
113,100,13,0.048226791906652224
36,10,36,0.04819718569325179
35,10,35,0.048108045064661105
39,10,39,0.047901505613920516
65,10,65,0.04783611918540502
46,10,46,0.047829964565196885
66,10,66,0.04782557159999992
21,10,21,0.047690516331182
19,10,19,0.04759947998571204
33,10,33,0.04741013625551794
18,10,18,0.04738901599463239
95,10,95,0.0472981816844716
52,10,52,0.04715367530306711
176,100,76,0.046972316602030356
276,1000,76,0.046972316602030356
241,1000,41,0.04656744506324534
141,100,41,0.04656744506324534
16,10,16,0.04652634407198
13,10,13,0.04641952137458947
137,100,37,0.046205101086956794
237,1000,37,0.046205101086956794
82,10,82,0.04598335896939673
94,10,94,0.04546324095299523
85,10,85,0.045369980793209745
20,10,20,0.04506698577426499
22,10,22,0.04495817910669557
167,100,67,0.044953804558367276
267,1000,67,0.044953804558367276
53,10,53,0.04485178223254442
98,10,98,0.0448116721289158
72,10,72,0.044780217693667176
74,10,74,0.04469572254879428
40,10,40,0.044588603334581055
148,100,48,0.04437446997918079
248,1000,48,0.04437446997918079
97,10,97,0.04436839422424227
24,10,24,0.04403922111140026
15,10,15,0.04398262492305506
216,1000,16,0.043977987894621075
116,100,16,0.043977987894621075
115,100,15,0.04388773712732135
215,1000,15,0.04388773712732135
261,1000,61,0.0437735725706291
161,100,61,0.0437735725706291
193,100,93,0.043711868170447726
293,1000,93,0.043711868170447726
217,1000,17,0.043604842023717845
117,100,17,0.043604842023717845
186,100,86,0.04354568099815946
286,1000,86,0.04354568099815946
77,10,77,0.043530740110290754
196,100,96,0.0435130010941851
296,1000,96,0.0435130010941851
289,1000,89,0.04322600445032429
189,100,89,0.04322600445032429
195,100,95,0.04298719010903087
295,1000,95,0.04298719010903087
153,100,53,0.04282539123243664
253,1000,53,0.04282539123243664
96,10,96,0.042409444627181284
88,10,88,0.0422509468725333
187,100,87,0.041925833802039014
287,1000,87,0.041925833802039014
160,100,60,0.04184738307986856
260,1000,60,0.04184738307986856
262,1000,62,0.04164778126728859
162,100,62,0.04164778126728859
128,100,28,0.04141427333839706
228,1000,28,0.04141427333839706
198,100,98,0.04137179456177231
298,1000,98,0.04137179456177231
122,100,22,0.040664795016603
222,1000,22,0.040664795016603
238,1000,38,0.04057250443812207
138,100,38,0.04057250443812207
83,10,83,0.04051630665490018
273,1000,73,0.04049649431198122
173,100,73,0.04049649431198122
255,1000,55,0.040162401852188126
155,100,55,0.040162401852188126
91,10,91,0.0398425182583979
292,1000,92,0.039760069591213025
192,100,92,0.039760069591213025
151,100,51,0.039414079700731096
251,1000,51,0.039414079700731096
140,100,40,0.039369332000884286
240,1000,40,0.039369332000884286
120,100,20,0.039339922945436
220,1000,20,0.039339922945436
146,100,46,0.03909594279518935
246,1000,46,0.03909594279518935
254,1000,54,0.03907781173081435
154,100,54,0.03907781173081435
245,1000,45,0.039003900100243814
145,100,45,0.039003900100243814
225,1000,25,0.03896992195999103
125,100,25,0.03896992195999103
272,1000,72,0.03896786661260074
172,100,72,0.03896786661260074
181,100,81,0.03895465481840083
281,1000,81,0.03895465481840083
124,100,24,0.03888372812409613
224,1000,24,0.03888372812409613
252,1000,52,0.03870655027138525
152,100,52,0.03870655027138525
127,100,27,0.03856612724041257
227,1000,27,0.03856612724041257
258,1000,58,0.03840344216154488
158,100,58,0.03840344216154488
180,100,80,0.03833401184513706
280,1000,80,0.03833401184513706
143,100,43,0.038128435109504914
243,1000,43,0.038128435109504914
229,1000,29,0.03794453168275485
129,100,29,0.03794453168275485
277,1000,77,0.037940225222980024
177,100,77,0.037940225222980024
223,1000,23,0.0379146172750146
123,100,23,0.0379146172750146
278,1000,78,0.03782226358505575
178,100,78,0.03782226358505575
147,100,47,0.03779540310367016
247,1000,47,0.03779540310367016
182,100,82,0.03770306129482074
282,1000,82,0.03770306129482074
170,100,70,0.03767964951946065
270,1000,70,0.03767964951946065
190,100,90,0.03758044421991875
290,1000,90,0.03758044421991875
235,1000,35,0.037212064410451655
135,100,35,0.037212064410451655
219,1000,19,0.036805799205339544
119,100,19,0.036805799205339544
164,100,64,0.03673285199885157
264,1000,64,0.03673285199885157
134,100,34,0.036675457425910926
234,1000,34,0.036675457425910926
244,1000,44,0.03646015889202384
144,100,44,0.03646015889202384
242,1000,42,0.03640808626477625
142,100,42,0.03640808626477625
231,1000,31,0.03630163705268446
131,100,31,0.03630163705268446
218,1000,18,0.036216303428176055
118,100,18,0.036216303428176055
165,100,65,0.035940709950145464
265,1000,65,0.035940709950145464
130,100,30,0.03589964545676299
230,1000,30,0.03589964545676299
121,100,21,0.03569447298524159
221,1000,21,0.03569447298524159
168,100,68,0.0352266262113916
268,1000,68,0.0352266262113916
285,1000,85,0.03486359819133007
185,100,85,0.03486359819133007
232,1000,32,0.03479382199447291
132,100,32,0.03479382199447291
139,100,39,0.03465893279052264
239,1000,39,0.03465893279052264
249,1000,49,0.034649417347740546
149,100,49,0.034649417347740546
299,1000,99,0.03424422750782414
199,100,99,0.03424422750782414
157,100,57,0.03412134814902871
257,1000,57,0.03412134814902871
279,1000,79,0.03384446134672551
179,100,79,0.03384446134672551
263,1000,63,0.03370445041679371
163,100,63,0.03370445041679371
269,1000,69,0.03310715585155261
169,100,69,0.03310715585155261
256,1000,56,0.03256749737238626
156,100,56,0.03256749737238626
184,100,84,0.031942151139746654
284,1000,84,0.031942151139746654
250,1000,50,0.03160292641983084
150,100,50,0.03160292641983084
266,1000,66,0.03137229106221371
166,100,66,0.03137229106221371
233,1000,33,0.031237782073721212
133,100,33,0.031237782073721212
283,1000,83,0.031044395590336497
183,100,83,0.031044395590336497
259,1000,59,0.03096349308018966
159,100,59,0.03096349308018966
174,100,74,0.03090786405851994
274,1000,74,0.03090786405851994
226,1000,26,0.029646846962646255
126,100,26,0.029646846962646255
236,1000,36,0.027328664900610963
136,100,36,0.027328664900610963
188,100,88,0.024534052882416182
288,1000,88,0.024534052882416182
194,100,94,0.02421627046985419
294,1000,94,0.02421627046985419
291,1000,91,0.017601130086303245
191,100,91,0.017601130086303245
0,10,0,
1,10,1,
2,10,2,
3,10,3,
4,10,4,
5,10,5,
6,10,6,
7,10,7,
8,10,8,
9,10,9,
100,100,0,
101,100,1,
102,100,2,
103,100,3,
104,100,4,
105,100,5,
106,100,6,
107,100,7,
108,100,8,
109,100,9,
200,1000,0,
201,1000,1,
202,1000,2,
203,1000,3,
204,1000,4,
205,1000,5,
206,1000,6,
207,1000,7,
208,1000,8,
209,1000,9,
