,re,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset,asset0
122,-0.03283966516419834,58.34,0.06293170605037646,0.1387399869773922,900537.0,601610.0,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,172,0.0043248036,1,-0.03283966516419834,-0.4057709767100638,0.6587623473257024
123,-0.007323568575232975,58.85,0.061585476221410085,0.12349196323199418,955997.0,675904.0,9.3,15.6,4.9,2.1,-0.7,2.6,7.6,8.2,-6.5,-6.2,1.5,3.6,-4.9,4.9,8.3,8.7,2022,4,173,-0.032485943,-1,0.007323568575232975,-0.3984474081348308,0.6514387787504694
124,0.0013413816230718467,59.23,-0.14114374835904298,-0.17619070163810246,821064.0,556816.0,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,174,0.09089061,1,0.0013413816230718467,-0.39710602651175897,0.6527801603735413
126,0.01841929002009368,56.63,0.09184302319916604,0.16454448148041734,896473.0,648437.0,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,176,-0.02982918,-1,-0.01841929002009368,-0.41552531653185265,0.6711994503936349
127,0.028280170996382692,57.62,-0.046439770076734055,-0.10856875841446434,854841.0,578037.0,6.8,12.2,1.5,-6.6,-15.8,-2.7,-5.5,4.3,-10.0,-7.4,-5.2,-19.0,-43.5,-7.8,8.0,8.5,2022,5,177,0.007913848,1,0.028280170996382692,-0.38724514553546996,0.6994796213900176
128,-0.03741605372561563,59.7,0.061672287595003095,0.06589024578011449,907561.0,616124.0,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,178,-0.02457392,-1,0.03741605372561563,-0.34982909180985433,0.662063567664402
129,-0.040863787375415295,58.77,0.02018707282485699,0.011184436899065675,925882.0,623015.0,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,179,-0.03376362,-1,0.040863787375415295,-0.30896530443443904,0.6211997802889867
130,-0.06096293730516111,60.36,0.03444067386556826,0.056608588878277466,957770.0,658283.0,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,180,-0.014890632,-1,0.06096293730516111,-0.24800236712927792,0.5602368429838256
131,0.012172630025820697,59.23,-0.04512356828883757,-0.08867462778166835,914552.0,599910.0,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,8.1,2022,6,181,-0.0088525815,-1,-0.012172630025820697,-0.2601749971550986,0.5724094730096463
132,-0.06887755102040816,56.98,0.05947611508148243,0.05494157456951876,968946.0,632870.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,182,-0.031962957,-1,0.06887755102040816,-0.19129744613469046,0.5035319219892381
133,-0.04031311154598827,56.08,0.011598169557436533,-0.020786259421366138,980184.0,619715.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,183,-0.059603073,-1,0.04031311154598827,-0.1509843345887022,0.46321881044324986
134,0.03629690048939649,53.18,-0.08719995429429572,-0.16239884463019294,894712.0,519074.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,184,0.004777196,1,0.03629690048939649,-0.11468743409930571,0.49951571093264635
135,0.03266430539157805,52.37,0.12888057833135136,0.11335570650812787,1010023.0,577914.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,185,-0.037591793,-1,-0.03266430539157805,-0.14735173949088376,0.5321800163242244
136,-0.015243902439024404,53.86,-0.06614304822761463,-0.11447724055828379,943217.0,511756.0,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022,7,186,0.031492777,1,-0.015243902439024404,-0.16259564192990816,0.5169361138852
137,0.012770897832817374,50.32,-0.05388791762659073,-0.14877988729003666,892389.0,435617.0,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,187,0.022983763,1,0.012770897832817374,-0.1498247440970908,0.5297070117180174
138,-0.00420328620557886,48.32,-0.09348501606362247,-0.23158416682544525,808964.0,334735.0,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,188,0.06715891,1,-0.00420328620557886,-0.15402803030266965,0.5255037255124385
139,0.03491941673062171,51.8,-0.050930572930315776,0.062138706738166016,767763.0,355535.0,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,189,0.017640177,1,0.03491941673062171,-0.11910861357204794,0.5604231422430602
140,-0.0315164998146088,47.38,-0.02738214787636284,0.13905803929289662,746740.0,404975.0,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022,8,190,-0.0033682897,-1,0.0315164998146088,-0.08759211375743914,0.5289066424284514
141,-0.27335375191424194,46.18,0.10399201864102636,0.2071535279955552,824395.0,488867.0,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,191,-0.011808224,-1,0.27335375191424194,0.1857616381568028,0.2555528905142095
143,0.007376185458377149,51.05,-0.03176026055470982,0.008920626673512455,798212.0,493228.0,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,193,-0.031232279,-1,-0.007376185458377149,0.17838545269842565,0.26292907597258663
144,0.05439330543933063,54.15,0.03846096024615009,0.01957918041960305,828912.0,502885.0,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,194,-0.06153051,-1,-0.05439330543933063,0.12399214725909502,0.31732238141191726
145,-0.021329365079365115,54.61,0.0361256683459763,0.046863597045050165,858857.0,526452.0,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022,9,195,0.043661855,1,-0.021329365079365115,0.1026627821797299,0.29599301633255215
147,-0.06183476938672072,59.71,-0.08167948797064006,-0.06332391177163355,788706.0,493115.0,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,16.4,4.6,-11.1,-12.0,25.4,8.1,0.9,5.9,2022,10,198,0.0147853065,1,-0.06183476938672072,0.04082801279300918,0.23415824694583143
148,0.0054024851431657694,57.98,0.07824588629983786,0.08242499214179255,850419.0,533760.0,5.9,10.1,-0.1,1.3,2.3,-1.4,4.9,4.4,16.4,4.6,-11.1,-12.0,25.4,8.1,0.9,5.9,2022,10,199,-0.02309998,-1,-0.0054024851431657694,0.035425527649843414,0.2395607320889972
149,0.04245029554003232,59.28,0.00430964030671932,-0.03530425659472425,854084.0,514916.0,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,200,-0.03195139,-1,-0.04245029554003232,-0.00702476789018891,0.2820110276290295
150,0.035051546391752675,58.87,0.023393483544944083,-0.01834085559586418,874064.0,505472.0,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,201,0.038234115,1,0.035051546391752675,0.028026778501563765,0.3170625740207822
151,-0.002490039840637448,60.79,-0.024143540976404476,-0.0686843188148899,852961.0,470754.0,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,202,-0.0034685316,-1,0.002490039840637448,0.030516818342201213,0.31457253418014475
152,0.08587119321018477,59.3,0.11713548450632572,0.06210249939458823,952873.0,499989.0,5.8,9.7,-0.4,-3.1,2.0,-1.0,3.0,4.2,9.4,4.9,-12.5,-8.5,8.6,8.1,-1.3,5.2,2022,11,203,0.030552851,1,0.08587119321018477,0.11638801155238598,0.4004437273903295
153,0.05057471264367819,59.79,0.23506175534410145,0.2677558906295938,1176857.0,633864.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,204,0.017927006,1,0.05057471264367819,0.16696272419606417,0.4510184400340077
154,0.04463894967177251,61.16,0.11766425317604434,-0.029918089684853544,1315331.0,614900.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,205,0.027446922,1,0.04463894967177251,0.21160167386783668,0.4956573897057802
155,-0.034771679932970256,60.58,-0.04253758179500067,-0.022530492763050858,1259380.0,601046.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,206,6.6893015e-05,1,-0.034771679932970256,0.17682999393486643,0.46088570977280996
156,0.03342013888888884,60.71,0.0039392399434643455,0.1452135111122943,1264341.0,688326.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,207,-0.023340452,-1,-0.03342013888888884,0.14340985504597759,0.4943058486616988
157,0.0037799244015119804,59.99,-0.022298572932460514,0.05411825210728627,1236148.0,725577.0,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022,12,208,-0.025072252,-1,-0.0037799244015119804,0.1396299306444656,0.4980857730632108
159,0.05648535564853563,61.67,-0.08434265152716336,0.02488364432720447,1131888.0,743632.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2023,1,210,0.013942857,1,0.05648535564853563,0.19611528629300123,0.5545711287117464
160,0.01544554455445546,60.9,0.12490988507696876,0.1259171202960605,1273272.0,837268.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2023,1,211,0.045039956,1,0.01544554455445546,0.2115608308474567,0.5700166732662019
162,-0.030421216848673938,61.29,-0.009641302094132276,-0.051030255545416736,1260996.0,794542.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,214,0.031516545,1,-0.030421216848673938,0.18113961399878276,0.5395954564175279
163,0.017699115044247815,61.52,0.03069954226658922,-0.004680683966360455,1299708.0,790823.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,215,0.018688357,1,0.017699115044247815,0.19883872904303057,0.5572945714617757
164,0.017391304347825987,60.83,0.02290976126945443,-0.0273689561380992,1329484.0,769179.0,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023,2,216,0.007772388,1,0.017391304347825987,0.21623003339085656,0.5746858758096017
165,-0.029526029526029562,60.61,-0.01783022586206373,-0.08237744400198133,1305779.0,705816.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,217,0.024517763,1,-0.029526029526029562,0.186704003864827,0.5451598462835722
166,-0.04923939151321055,62.36,-0.007285306319063212,-0.08692350414272276,1296266.0,644464.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,218,0.033567294,1,-0.04923939151321055,0.13746461235161644,0.4959204547703616
167,0.05052631578947375,62.33,0.06450759334889589,-0.009047828893468113,1379885.0,638633.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,219,-0.024256898,-1,-0.05052631578947375,0.08693829656214269,0.5464467705598354
168,-0.012825651302605157,62.2,0.013530837714737176,-0.07620495652432613,1398556.0,589966.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,220,0.035405133,1,-0.012825651302605157,0.07411264525953754,0.5336211192572302
169,-0.01218026796589522,61.75,0.01268808685529943,-0.11256750389005465,1416301.0,523555.0,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023,3,221,-0.0026528058,-1,0.01218026796589522,0.08629291322543275,0.521440851291335
170,-0.034936292642827826,62.66,0.026859403474261523,0.1885971865420062,1454342.0,622296.0,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,222,0.007737213,1,-0.034936292642827826,0.05135662058260493,0.48650455864850717
171,-0.05195911413969334,61.18,-0.03172912561144492,0.07634469770012986,1408197.0,669805.0,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,223,-0.01883089,-1,0.05195911413969334,0.10331573472229827,0.4345454445088138
172,-0.05929919137466311,60.63,0.050681119189999624,0.1261382044027739,1479566.0,754293.0,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,224,-0.021633113,-1,0.05929919137466311,0.16261492609696138,0.3752462531341507
173,-0.028175740210124145,62.1,0.036637094931892156,0.054370118773473974,1533773.0,795304.0,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023,4,225,-0.04745326,-1,0.028175740210124145,0.19079066630708552,0.3470705129240266
174,-0.07911547911547911,63.05,0.038351829116825,0.07576348163721036,1592596.0,855559.0,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,226,-0.032372117,-1,0.07911547911547911,0.26990614542256464,0.26795503380854746
175,-0.0699039487726788,62.5,-0.021684093141010052,-0.01306280455234532,1558062.0,844383.0,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,227,-0.0632823,-1,0.0699039487726788,0.33981009419524344,0.19805108503586866
176,-0.07630522088353409,60.93,0.04370108506593451,0.05029471223366655,1626151.0,886851.0,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,228,-0.06627581,-1,0.07630522088353409,0.4161153150787775,0.12174586415233457
177,0.0627329192546584,58.73,0.22588800179073165,0.19553904770925445,1993479.0,1060265.0,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023,5,229,0.00064247963,1,0.0627329192546584,0.47884823433343593,0.18447878340699297
178,-0.03214494447691407,59.99,0.23507747009123237,0.2369294468835621,2462101.0,1311473.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,230,0.046963386,1,-0.03214494447691407,0.44670328985652186,0.1523338389300789
179,0.024758454106280192,60.62,0.049872040180317434,-0.07031787920910304,2584891.0,1219253.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,231,-0.07626888,-1,-0.024758454106280192,0.42194483575024166,0.1770922930363591
180,-0.015321154979375362,60.25,0.030234156875473595,-0.07391657022783626,2663043.0,1129130.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,232,0.008007528,1,-0.015321154979375362,0.4066236807708663,0.16177113805698373
181,0.010173548773189767,60.55,0.09193280018384975,0.0746282536111873,2907864.0,1213395.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,233,-0.023857003,-1,-0.010173548773189767,0.39645013199767654,0.1719446868301735
182,0.004739336492890933,61.03,-0.012437651829659169,-0.06538101772300031,2871697.0,1134062.0,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023,6,234,-0.022269633,-1,-0.004739336492890933,0.3917107955047856,0.17668402332306443
183,0.09316037735849059,60.34,0.026857290306045556,-0.05561512509898048,2948823.0,1070991.0,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,235,-0.03038033,-1,-0.09316037735849059,0.298550418146295,0.269844400681555
184,0.07335490830636471,56.02,0.01447764074005109,0.032933049857561736,2991515.0,1106262.0,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,236,0.08174461,1,0.07335490830636471,0.3719053264526597,0.3431993089879197
185,0.048241206030150696,56.54,0.07232154944902502,0.0890756439252185,3207866.0,1204803.0,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,237,0.07246538,1,0.048241206030150696,0.4201465324828104,0.3914405150180704
186,-0.046979865771812124,56.88,-0.10829130643237594,-0.24000355244799354,2860482.0,915646.0,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023,7,238,-0.00064104976,-1,0.046979865771812124,0.46712639825462254,0.3444606492462583
187,0.03420523138832987,54.72,0.06278067822136268,0.023574612896250402,3040065.0,937232.0,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,239,0.080205835,1,0.03420523138832987,0.5013316296429524,0.37866588063458817
188,0.1532101167315174,54.1,-0.10800426964555032,-0.33469407788039673,2711725.0,623546.0,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,240,-0.030006258,-1,-0.1532101167315174,0.348121512911435,0.5318759973661056
189,0.2547448334036271,54.81,0.19596861776175678,1.0365778948144966,3243138.0,1269900.0,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,241,0.0460696,1,0.2547448334036271,0.6028663463150621,0.7866208307697327
190,0.09243697478991586,55.95,-0.03900543239294785,-0.0008551854476730458,3116638.0,1268814.0,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023,8,242,0.046793792,1,0.09243697478991586,0.695303321104978,0.8790578055596485
191,0.09046153846153837,57.01,-0.18621091060302797,-0.20746145613147393,2536286.0,1005584.0,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,243,0.04059539,1,0.09046153846153837,0.7857648595665163,0.9695193440211869
192,-0.019469525959367906,56.92,-0.13909235788077523,-0.0398146748556063,2183508.0,965547.0,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,244,0.05354899,1,-0.019469525959367906,0.7662953336071484,0.950049818061819
193,-0.019469525959367906,55.28,-0.283360995242518,-0.16603748963023035,1564787.0,805230.0,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023,9,245,0.07141076,1,-0.019469525959367906,0.7468258076477805,0.9305802921024511
